#     reduce       time
           1       4811
           5       4962
          10       4810
          20       5832
          30       5893
          50       4844
          80       4822
         100       4899
         200       4861
         300       5900
         500       5860
         800       4873
        1000       4858

#     reduce       time
           1       5171
           5       5171
          10       5171
          20       5171
          30       5171
          50       5171
          80       5171
         100       5171
         200       5171
         300       5171
         500       5171
         800       5171
        1000       5171
